Time[ms],AccX[g],AccY[g],AccZ[g],GyroX[°/s],GyroY[°/s],GyroZ[°/s],MagX[uT],MagY[uT],MagZ[uT],qW,qX,qY,qZ,AltFilt[m],VelFilt[m/s],AccVert[m/s^2],Tilt[°],PressBMP[Pa],Servo[%],PID_Gain,Cd_Gain,Estado
22742,-0.020,-0.003,-1.017,-0.061,-0.122,-0.122,0.000,0.000,0.000,1.0000,0.0008,0.0073,0.0000,0.22,-0.00,-0.16,0.84,93368.8,0,0.00,0.00,2
22942,-0.019,0.000,-1.016,0.000,-0.183,0.000,0.000,0.000,0.000,1.0000,0.0004,0.0091,0.0000,0.21,-0.00,-0.15,1.04,93365.6,0,0.00,0.00,2
23142,-0.019,0.000,-1.016,0.000,-0.183,-0.061,0.000,0.000,0.000,1.0000,0.0000,0.0092,0.0000,0.20,-0.00,-0.15,1.06,93368.5,0,0.00,0.00,2
23342,-0.019,-0.000,-1.016,0.061,-0.122,-0.061,0.000,0.000,0.000,1.0000,-0.0000,0.0093,0.0000,0.22,-0.00,-0.15,1.07,93363.1,0,0.00,0.00,2
23542,-0.017,-0.001,-1.016,0.061,-0.305,-0.061,0.000,0.000,0.000,1.0000,0.0004,0.0082,0.0001,0.21,-0.00,-0.15,0.94,93364.3,0,0.00,0.00,2
23742,-0.017,-0.001,-1.015,0.061,-0.305,0.000,0.000,0.000,0.000,1.0000,0.0001,0.0082,0.0001,0.22,-0.00,-0.14,0.94,93363.5,0,0.00,0.00,2
23942,-0.017,-0.003,-1.017,0.000,-0.122,0.000,0.000,0.000,0.000,1.0000,0.0014,0.0082,0.0001,0.24,-0.00,-0.16,0.95,93368.3,0,0.00,0.00,2
24142,-0.018,-0.001,-1.016,0.000,-0.122,-0.061,0.000,0.000,0.000,1.0000,0.0008,0.0085,0.0001,0.24,-0.00,-0.15,0.98,93366.2,0,0.00,0.00,2
24342,-0.017,-0.001,-1.017,0.000,-0.122,-0.061,0.000,0.000,0.000,1.0000,0.0006,0.0083,0.0001,0.22,-0.00,-0.16,0.95,93364.7,0,0.00,0.00,2
24542,-0.019,0.000,-1.012,-0.061,-0.122,0.000,0.000,0.000,0.000,1.0000,-0.0003,0.0092,0.0001,0.20,-0.00,-0.11,1.05,93371.9,0,0.00,0.00,2
24742,-0.020,-0.000,-1.016,0.061,0.000,-0.122,0.000,0.000,0.000,1.0000,0.0010,0.0090,0.0001,0.18,-0.00,-0.15,1.04,93364.6,0,0.00,0.00,2
24943,-0.021,-0.000,-1.013,0.061,-0.122,-0.061,-11.244,-11.528,-11.048,1.0000,0.0017,0.0063,0.0011,0.17,-0.00,-0.13,0.75,93366.7,0,0.00,0.00,2
25143,-0.020,-0.000,-1.014,0.061,-0.244,-0.122,-11.244,-11.528,-11.048,1.0000,0.0035,0.0018,0.0044,0.16,-0.00,-0.13,0.45,93366.6,0,0.00,0.00,2
25343,-0.018,-0.002,-1.016,0.000,-0.183,-0.061,-11.244,-11.528,-11.048,0.9999,0.0047,-0.0003,0.0097,0.16,-0.00,-0.16,0.54,93366.2,0,0.00,0.00,2
25543,-0.018,-0.001,-1.011,0.000,-0.183,-0.061,-11.244,-11.528,-11.048,0.9999,0.0046,-0.0009,0.0156,0.16,-0.00,-0.11,0.54,93366.3,0,0.00,0.00,2
25743,-0.018,-0.002,-1.018,0.000,-0.122,-0.122,-11.244,-11.528,-11.048,0.9998,0.0047,-0.0008,0.0169,0.15,-0.00,-0.18,0.55,93371.5,0,0.00,0.00,2
25943,-0.019,0.000,-1.014,0.000,-0.061,-0.061,-11.244,-11.528,-11.048,0.9998,0.0047,-0.0006,0.0170,0.13,-0.00,-0.14,0.54,93367.6,0,0.00,0.00,2
26143,-0.018,-0.002,-1.013,0.122,-0.183,0.000,-11.244,-11.528,-11.048,0.9998,0.0047,-0.0005,0.0172,0.11,-0.00,-0.13,0.54,93367.6,0,0.00,0.00,2
26343,-0.018,-0.000,-1.013,0.122,-0.183,-0.061,-11.244,-11.528,-11.048,0.9998,0.0047,-0.0002,0.0173,0.10,-0.00,-0.13,0.54,93365.6,0,0.00,0.00,2
26543,-0.018,-0.001,-1.013,-0.061,-0.061,0.000,-11.244,-11.528,-11.048,0.9998,0.0046,-0.0001,0.0175,0.10,-0.00,-0.13,0.53,93370.3,0,0.00,0.00,2
26743,-0.018,-0.000,-1.017,0.000,-0.122,-0.122,-11.244,-11.528,-11.048,0.9998,0.0046,-0.0001,0.0176,0.11,-0.00,-0.17,0.53,93364.9,0,0.00,0.00,2
26943,-0.018,-0.001,-1.015,-0.061,-0.122,-0.122,-11.244,-11.528,-11.048,0.9998,0.0046,-0.0001,0.0178,0.10,-0.00,-0.14,0.53,93365.0,0,0.00,0.00,2
27143,-0.019,0.000,-1.014,0.000,-0.122,0.000,-11.244,-11.528,-11.048,0.9998,0.0046,0.0000,0.0179,0.09,-0.00,-0.14,0.53,93364.4,0,0.00,0.00,2
27343,-0.019,-0.002,-1.015,0.061,-0.122,-0.122,-11.244,-11.528,-11.048,0.9998,0.0046,-0.0000,0.0181,0.09,-0.00,-0.14,0.53,93366.6,0,0.00,0.00,2
