Time[ms],AccX[g],AccY[g],AccZ[g],GyroX[°/s],GyroY[°/s],GyroZ[°/s],MagX[uT],MagY[uT],MagZ[uT],qW,qX,qY,qZ,AltFilt[m],VelFilt[m/s],AccVert[m/s^2],Tilt[°],PressBMP[Pa],Servo[%],PID_Gain,Cd_Gain,Estado
23209,0.004,-0.001,0.983,0.061,-0.305,-0.061,-46.959,1.882,-47.912,1.0000,-0.0008,-0.0026,-0.0001,-0.09,0.00,0.00,0.31,95369.0,0,0.00,0.00,2
23409,0.004,-0.003,0.983,0.061,-0.183,-0.000,-50.438,1.882,-55.144,1.0000,-0.0008,-0.0028,-0.0001,-0.05,0.00,0.00,0.33,95366.0,0,0.00,0.00,2
23609,0.004,-0.001,0.986,-0.061,-0.122,-0.061,-48.698,0.000,-56.952,1.0000,-0.0009,-0.0026,-0.0001,-0.05,0.00,0.00,0.32,95367.0,0,0.00,0.00,2
23809,0.003,-0.003,0.985,0.061,-0.122,-0.000,-46.959,1.882,-51.528,1.0000,-0.0011,-0.0026,-0.0001,-0.04,0.00,0.00,0.33,95368.2,0,0.00,0.00,2
24009,0.003,-0.002,0.987,-0.000,0.000,-0.061,-57.395,-1.882,-44.296,1.0000,-0.0010,-0.0024,-0.0002,-0.06,-0.00,0.00,0.30,95370.9,0,0.00,0.00,2
24209,0.003,-0.002,0.983,-0.000,-0.122,-0.061,-52.177,-3.765,-46.104,1.0000,-0.0012,-0.0024,-0.0003,-0.07,-0.00,0.00,0.31,95373.1,0,0.00,0.00,2
24409,0.003,-0.001,0.984,-0.000,-0.122,-0.061,-53.916,-1.882,-44.296,1.0000,-0.0012,-0.0024,-0.0004,-0.08,0.00,0.00,0.31,95369.5,0,0.00,0.00,2
24609,0.004,-0.001,0.986,-0.000,-0.122,-0.061,-45.220,-7.530,-49.720,1.0000,-0.0013,-0.0027,-0.0004,-0.08,0.00,0.00,0.34,95369.5,0,0.00,0.00,2
24809,0.003,-0.002,0.987,-0.000,-0.244,-0.122,-57.395,-9.412,-26.216,1.0000,-0.0011,-0.0022,-0.0004,-0.08,-0.00,0.00,0.28,95372.2,0,0.00,0.00,2
25009,0.004,-0.002,0.984,-0.061,-0.061,0.061,-53.916,-5.647,-44.296,1.0000,-0.0013,-0.0025,-0.0005,-0.08,0.00,0.00,0.32,95369.6,0,0.00,0.00,2
