Time[ms],AccX[g],AccY[g],AccZ[g],GyroX[°/s],GyroY[°/s],GyroZ[°/s],MagX[uT],MagY[uT],MagZ[uT],qW,qX,qY,qZ,AltFilt[m],VelFilt[m/s],AccVert[m/s^2],Tilt[°],PressBMP[Pa],Servo[%],PID_Gain,Cd_Gain,Estado
5241,0.028,0.020,0.988,0.000,-0.183,0.000,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.02,0.00,0.00,0.00,92720.8,0,0.00,0.00,2
5251,0.026,0.022,0.990,0.000,-0.244,0.000,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,92720.8,0,0.00,0.00,2
5271,0.028,0.022,0.992,-0.061,-0.305,-0.061,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.03,-0.00,0.00,0.00,92726.2,0,0.00,0.00,2
5291,0.027,0.021,0.984,-0.122,-0.183,0.061,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.06,-0.00,0.00,0.00,92725.2,0,0.00,0.00,2
5311,0.027,0.022,0.990,-0.061,-0.122,0.061,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.03,0.00,0.00,0.00,92720.0,0,0.00,0.00,2
5331,0.028,0.023,0.991,-0.061,-0.122,0.000,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.03,-0.00,0.00,0.00,92723.3,0,0.00,0.00,2
5351,0.028,0.022,0.987,-0.122,-0.183,0.000,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.05,-0.00,0.00,0.00,92725.7,0,0.00,0.00,2
5371,0.027,0.021,0.990,0.000,-0.183,0.000,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.06,-0.00,0.00,0.00,92724.0,0,0.00,0.00,2
5391,0.025,0.022,0.990,-0.122,-0.183,-0.061,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.04,0.00,0.00,0.00,92720.1,0,0.00,0.00,2
5411,0.027,0.023,0.987,-0.122,-0.183,-0.061,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.03,0.00,0.00,0.00,92722.2,0,0.00,0.00,2
5431,0.026,0.022,0.986,-0.061,-0.183,0.000,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.04,-0.00,0.00,0.00,92724.8,0,0.00,0.00,2
5451,0.026,0.021,0.988,-0.061,-0.122,0.061,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.06,-0.00,0.00,0.00,92725.4,0,0.00,0.00,2
5471,0.027,0.022,0.989,-0.061,-0.122,0.000,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.06,-0.00,0.00,0.00,92723.4,0,0.00,0.00,2
5491,0.029,0.024,0.989,-0.122,-0.244,0.000,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.07,-0.00,0.00,0.00,92725.4,0,0.00,0.00,2
5511,0.027,0.024,0.990,-0.061,-0.183,0.061,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.07,-0.00,0.00,0.00,92724.6,0,0.00,0.00,2
5531,0.027,0.022,0.991,-0.122,-0.183,0.000,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.10,-0.00,0.00,0.00,92729.3,0,0.00,0.00,2
5551,0.028,0.023,0.990,-0.061,-0.183,0.000,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.10,-0.00,0.00,0.00,92724.7,0,0.00,0.00,2
5571,0.029,0.023,0.987,0.000,-0.183,-0.061,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.10,-0.00,0.00,0.00,92723.9,0,0.00,0.00,2
5591,0.027,0.021,0.988,-0.061,-0.122,-0.061,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.09,0.00,0.00,0.00,92722.1,0,0.00,0.00,2
5611,0.026,0.021,0.990,-0.122,-0.244,-0.061,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.10,-0.00,0.00,0.00,92725.9,0,0.00,0.00,2
5631,0.028,0.024,0.991,-0.061,-0.244,-0.122,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.09,0.00,0.00,0.00,92719.8,0,0.00,0.00,2
5651,0.028,0.021,0.987,-0.122,-0.183,0.061,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.08,0.00,0.00,0.00,92720.8,0,0.00,0.00,2
5671,0.028,0.023,0.993,-0.061,-0.183,0.061,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.07,0.00,0.00,0.00,92721.5,0,0.00,0.00,2
5691,0.026,0.021,0.984,-0.122,-0.122,-0.061,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.07,-0.00,0.00,0.00,92724.0,0,0.00,0.00,2
5711,0.028,0.023,0.988,-0.122,-0.244,0.000,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.08,-0.00,0.00,0.00,92725.4,0,0.00,0.00,2
5731,0.027,0.020,0.989,-0.061,-0.183,0.000,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.08,0.00,0.00,0.00,92723.5,0,0.00,0.00,2
5751,0.029,0.022,0.987,-0.122,-0.122,0.000,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.08,-0.00,0.00,0.00,92723.9,0,0.00,0.00,2
5771,0.026,0.022,0.988,-0.061,-0.183,-0.061,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.07,0.00,0.00,0.00,92720.5,0,0.00,0.00,2
5791,0.028,0.023,0.989,-0.122,-0.183,-0.061,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.06,0.00,0.00,0.00,92720.9,0,0.00,0.00,2
5811,0.028,0.022,0.993,-0.061,-0.183,0.061,0.000,0.000,0.000,1.0000,0.0000,0.0000,0.0000,-0.07,-0.00,0.00,0.00,92724.7,0,0.00,0.00,2
