Time[ms],AccX[g],AccY[g],AccZ[g],GyroX[°/s],GyroY[°/s],GyroZ[°/s],MagX[uT],MagY[uT],MagZ[uT],qW,qX,qY,qZ,AltFilt[m],VelFilt[m/s],AccVert[m/s^2],Tilt[°],PressBMP[Pa],Servo[%],PID_Gain,Cd_Gain,Estado
16983,0.048,-0.048,0.998,0.000,0.000,0.000,0.000,0.000,0.000,1.0000,0.0011,-0.0011,0.0000,-1.51,-9.37,-19.59,0.17,0.998,-0.998,86161.6,0,0.00,0.00,3
17003,0.048,-0.048,0.998,0.000,0.000,0.000,0.000,0.000,0.000,1.0000,0.0011,-0.0011,0.0000,-1.64,-9.75,-19.59,0.17,0.998,-0.998,86161.6,0,0.00,0.00,3
17023,0.048,-0.048,0.998,0.000,0.000,0.000,0.000,0.000,0.000,1.0000,0.0011,-0.0011,0.0000,-1.77,-10.13,-19.59,0.17,0.998,-0.998,86161.6,0,0.00,0.00,3
17043,0.048,-0.048,0.998,0.000,0.000,0.000,0.000,0.000,0.000,1.0000,0.0011,-0.0011,0.0000,-1.90,-10.51,-19.59,0.17,0.998,-0.998,86161.6,0,0.00,0.00,3
17063,0.048,-0.048,0.998,0.000,0.000,0.000,0.000,0.000,0.000,1.0000,0.0011,-0.0011,0.0000,-2.04,-10.89,-19.59,0.17,0.998,-0.998,86161.6,0,0.00,0.00,3
17083,0.048,-0.048,0.998,0.000,0.000,0.000,0.000,0.000,0.000,1.0000,0.0011,-0.0011,0.0000,-2.19,-11.27,-19.59,0.17,0.998,-0.998,86161.6,0,0.00,0.00,3
17103,0.048,-0.048,0.998,0.000,0.000,0.000,0.000,0.000,0.000,1.0000,0.0011,-0.0011,0.0000,-2.34,-11.64,-19.59,0.17,0.998,-0.998,86161.6,0,0.00,0.00,3
17123,0.048,-0.048,0.998,0.000,0.000,0.000,0.000,0.000,0.000,1.0000,0.0011,-0.0011,0.0000,-2.49,-12.02,-19.59,0.17,0.998,-0.998,86161.6,0,0.00,0.00,3
17143,0.048,-0.048,0.998,0.000,0.000,0.000,0.000,0.000,0.000,1.0000,0.0011,-0.0011,0.0000,-2.65,-12.39,-19.59,0.17,0.998,-0.998,86161.6,0,0.00,0.00,3
17163,0.048,-0.048,0.998,0.000,0.000,0.000,0.000,0.000,0.000,1.0000,0.0011,-0.0011,0.0000,-2.81,-12.75,-19.59,0.17,0.998,-0.998,86161.6,0,0.00,0.00,3
17183,0.048,-0.048,0.998,0.000,0.000,0.000,0.000,0.000,0.000,1.0000,0.0011,-0.0011,0.0000,-2.98,-13.12,-19.59,0.17,0.998,-0.998,86161.6,0,0.00,0.00,3
