Time[ms],AccX[g],AccY[g],AccZ[g],GyroX[°/s],GyroY[°/s],GyroZ[°/s],MagX[uT],MagY[uT],MagZ[uT],qW,qX,qY,qZ,AltFilt[m],VelFilt[m/s],AccVert[m/s^2],Tilt[°],PressBMP[Pa],Servo[%],PID_Gain,Cd_Gain,Estado
46042,-0.000,-0.001,1.000,0.061,0.061,0.061,-128.904,-26.543,-90.611,1.0000,-0.0008,-0.0001,0.0002,-0.00,-0.00,0.00,0.09,91370.6,0,0.00,0.00,2
46242,-0.000,0.000,0.999,0.122,0.122,0.122,-128.222,-26.904,-92.706,1.0000,-0.0008,-0.0000,0.0004,-0.00,-0.00,0.00,0.09,91372.7,0,0.00,0.00,2
46442,0.001,-0.004,0.996,-0.061,-0.122,0.061,-129.927,-25.821,-90.960,1.0000,-0.0008,-0.0000,0.0006,-0.00,-0.00,0.00,0.09,91369.3,0,0.00,0.00,2
46642,0.000,-0.002,0.999,0.122,0.061,0.061,-129.074,-26.002,-91.484,1.0000,-0.0008,-0.0000,0.0007,-0.00,-0.00,0.00,0.09,91371.4,0,0.00,0.00,2
46842,0.001,-0.002,0.999,-0.000,0.000,0.122,-129.927,-25.099,-90.960,1.0000,-0.0007,0.0000,0.0008,0.02,-0.00,0.00,0.07,91368.6,0,0.00,0.00,2
47042,-0.000,-0.000,0.999,0.122,0.000,0.122,-127.028,-26.002,-92.182,1.0000,-0.0007,0.0000,0.0010,0.04,-0.00,0.00,0.07,91369.3,0,0.00,0.00,2
47242,-0.001,-0.003,0.999,-0.000,0.000,0.122,-131.461,-26.002,-91.833,1.0000,-0.0006,-0.0000,0.0012,0.07,-0.00,0.00,0.07,91367.2,0,0.00,0.00,2
47442,-0.000,-0.003,1.000,-0.000,0.000,0.122,-128.563,-26.543,-91.309,1.0000,-0.0006,-0.0000,0.0013,0.09,-0.00,0.00,0.07,91371.3,0,0.00,0.00,2
47642,0.001,-0.000,0.996,0.183,0.061,0.061,-127.710,-27.085,-91.833,1.0000,-0.0006,-0.0000,0.0015,0.09,-0.00,0.00,0.06,91372.0,0,0.00,0.00,2
47842,-0.000,-0.000,0.998,0.061,0.000,0.061,-128.904,-26.904,-91.309,1.0000,-0.0006,-0.0000,0.0016,0.10,-0.00,0.00,0.06,91372.0,0,0.00,0.00,2
48042,0.001,-0.001,1.000,-0.000,0.061,0.122,-128.904,-26.182,-92.357,1.0000,-0.0006,-0.0000,0.0018,0.09,-0.00,0.00,0.06,91371.4,0,0.00,0.00,2
48242,0.000,-0.002,0.998,0.061,0.122,0.061,-128.904,-25.099,-90.611,1.0000,-0.0005,-0.0000,0.0019,0.09,-0.00,0.00,0.05,91368.6,0,0.00,0.00,2
48442,-0.000,0.000,0.999,0.061,0.000,0.183,-130.097,-26.724,-91.833,1.0000,-0.0004,-0.0000,0.0021,0.09,-0.00,0.00,0.04,91370.7,0,0.00,0.00,2
48642,0.001,-0.001,0.997,-0.122,0.000,0.061,-128.222,-26.182,-92.007,1.0000,-0.0005,-0.0000,0.0022,0.10,-0.00,0.00,0.04,91368.6,0,0.00,0.00,2
48842,-0.000,-0.004,0.997,-0.000,0.000,0.061,-129.245,-27.988,-92.007,1.0000,-0.0005,-0.0000,0.0023,0.10,-0.00,0.00,0.04,91371.4,0,0.00,0.00,2
49042,0.001,-0.002,0.997,0.061,0.000,-0.000,-129.586,-26.182,-91.658,1.0000,-0.0004,-0.0000,0.0025,0.10,-0.00,0.00,0.04,91369.3,0,0.00,0.00,2
49242,0.001,-0.000,0.993,-0.000,-0.061,0.122,-129.245,-26.182,-90.262,1.0000,-0.0004,-0.0000,0.0026,0.09,-0.00,0.00,0.03,91369.3,0,0.00,0.00,2
49442,0.000,-0.004,0.997,0.061,0.061,0.061,-128.222,-25.460,-91.309,1.0000,-0.0004,0.0000,0.0028,0.09,-0.00,0.00,0.04,91369.3,0,0.00,0.00,2
49642,-0.000,-0.000,0.998,0.061,0.000,0.122,-129.074,-27.446,-90.785,1.0000,-0.0004,0.0000,0.0029,0.09,-0.00,0.00,0.04,91366.5,0,0.00,0.00,2
49842,0.000,-0.003,0.992,0.122,0.061,0.061,-129.415,-27.085,-92.182,1.0000,-0.0003,-0.0000,0.0031,0.08,-0.00,0.00,0.03,91372.0,0,0.00,0.00,2
50042,0.001,-0.001,1.000,0.122,0.061,0.061,-129.586,-25.460,-91.309,1.0000,-0.0003,-0.0000,0.0032,0.08,-0.00,0.00,0.03,91369.3,0,0.00,0.00,2
50242,0.000,-0.001,0.996,0.061,0.061,0.122,-128.222,-27.627,-91.309,1.0000,-0.0003,-0.0000,0.0034,0.07,-0.00,0.00,0.03,91369.3,0,0.00,0.00,2
50442,-0.000,-0.002,0.998,0.122,0.122,0.183,-128.563,-26.182,-90.611,1.0000,-0.0003,0.0000,0.0035,0.06,-0.00,0.00,0.02,91374.8,0,0.00,0.00,2
50642,-0.001,-0.003,0.996,0.061,0.000,0.122,-129.074,-26.002,-90.785,1.0000,-0.0003,0.0000,0.0037,0.06,-0.00,0.00,0.03,91370.7,0,0.00,0.00,2
50842,-0.002,-0.001,0.997,0.061,-0.061,0.061,-128.904,-25.460,-90.611,1.0000,-0.0003,0.0000,0.0038,0.06,-0.00,0.00,0.04,91371.4,0,0.00,0.00,2
51042,0.002,-0.002,0.996,-0.000,-0.122,0.122,-128.563,-25.821,-90.262,1.0000,-0.0004,0.0000,0.0040,0.07,-0.00,0.00,0.03,91368.0,0,0.00,0.00,2
51242,0.001,-0.002,1.000,0.122,0.061,0.122,-128.733,-26.724,-91.833,1.0000,-0.0003,0.0000,0.0042,0.07,-0.00,0.00,0.04,91371.4,0,0.00,0.00,2
51442,0.000,-0.001,0.998,-0.000,-0.061,-0.000,-129.245,-26.543,-90.262,1.0000,-0.0004,0.0000,0.0043,0.07,-0.00,0.00,0.04,91367.9,0,0.00,0.00,2
51642,0.002,-0.004,0.995,-0.000,0.061,0.183,-127.881,-25.821,-89.912,1.0000,-0.0004,0.0000,0.0045,0.07,-0.00,0.00,0.04,91370.0,0,0.00,0.00,2
51842,-0.000,-0.009,0.995,-0.183,-0.183,0.122,-128.904,-23.654,-91.309,1.0000,-0.0005,0.0001,0.0047,0.07,-0.00,0.00,0.04,91370.7,0,0.00,0.00,2
52042,0.002,0.001,0.995,0.122,0.122,0.122,-127.539,-27.627,-91.658,1.0000,-0.0005,0.0000,0.0048,0.07,-0.00,0.00,0.05,91370.0,0,0.00,0.00,2
52242,-0.003,-0.004,1.000,0.122,0.061,0.122,-129.415,-27.446,-90.436,1.0000,-0.0005,0.0001,0.0050,0.07,-0.00,0.00,0.05,91370.0,0,0.00,0.00,2
