Time[ms],AccX[g],AccY[g],AccZ[g],GyroX[°/s],GyroY[°/s],GyroZ[°/s],MagX[uT],MagY[uT],MagZ[uT],qW,qX,qY,qZ,AltFilt[m],VelFilt[m/s],AccVert[m/s^2],Tilt[°],PressBMP[Pa],Servo[%],PID_Gain,Cd_Gain,Estado
30525,0.004,-0.002,0.997,0.122,0.000,0.122,8.696,1.083,-60.407,1.0000,-0.0007,-0.0009,0.0003,-0.00,-0.00,0.00,0.13,91046.7,0,0.00,0.00,2
30725,0.002,-0.001,0.996,0.061,-0.061,0.061,8.696,3.250,-62.851,1.0000,-0.0008,-0.0009,0.0004,-0.00,-0.00,0.00,0.13,91044.0,0,0.00,0.00,2
30925,-0.000,0.000,0.999,0.061,0.000,0.061,7.332,2.528,-60.058,1.0000,-0.0007,-0.0009,0.0005,-0.00,-0.00,0.00,0.13,91045.4,0,0.00,0.00,2
31125,-0.002,0.000,0.997,0.061,0.000,-0.000,8.355,3.250,-60.407,1.0000,-0.0006,-0.0009,0.0006,-0.00,-0.00,0.00,0.12,91046.7,0,0.00,0.00,2
31325,-0.001,-0.002,0.998,-0.000,0.000,-0.000,9.037,2.889,-59.709,1.0000,-0.0006,-0.0008,0.0008,0.00,-0.00,0.00,0.12,91045.4,0,0.00,0.00,2
31525,-0.001,-0.002,0.998,-0.000,0.000,0.061,8.014,3.250,-59.360,1.0000,-0.0006,-0.0008,0.0009,0.01,-0.00,0.00,0.11,91050.8,0,0.00,0.00,2
31725,-0.001,-0.002,0.998,-0.000,0.000,-0.000,8.014,3.611,-62.153,1.0000,-0.0006,-0.0008,0.0010,0.03,-0.00,0.00,0.12,91046.7,0,0.00,0.00,2
31925,0.000,-0.004,0.998,0.061,0.000,-0.000,7.502,3.431,-60.931,1.0000,-0.0005,-0.0008,0.0011,0.03,-0.00,0.00,0.12,91046.0,0,0.00,0.00,2
32125,-0.000,-0.002,0.996,-0.000,0.000,0.061,7.673,3.611,-61.105,1.0000,-0.0005,-0.0009,0.0012,0.02,-0.00,0.00,0.12,91051.5,0,0.00,0.00,2
32325,0.001,-0.002,0.997,-0.061,0.061,-0.000,9.548,4.875,-61.280,1.0000,-0.0005,-0.0009,0.0013,0.01,-0.00,0.00,0.12,91051.5,0,0.00,0.00,2
32525,0.001,-0.002,0.998,0.061,0.000,0.061,7.673,3.250,-60.407,1.0000,-0.0004,-0.0009,0.0014,0.02,-0.00,0.00,0.11,91046.7,0,0.00,0.00,2
32725,0.003,-0.002,0.998,0.061,0.000,0.061,9.719,2.889,-60.756,1.0000,-0.0004,-0.0009,0.0015,0.02,-0.00,0.00,0.10,91048.1,0,0.00,0.00,2
32925,0.003,-0.001,0.995,0.061,-0.061,0.061,7.843,4.153,-61.629,1.0000,-0.0003,-0.0009,0.0016,0.02,-0.00,0.00,0.11,91046.7,0,0.00,0.00,2
33125,0.004,-0.003,0.995,0.061,-0.061,-0.000,8.525,4.153,-62.328,1.0000,-0.0003,-0.0010,0.0017,0.02,-0.00,0.00,0.11,91044.7,0,0.00,0.00,2
