Time[ms],AccX[g],AccY[g],AccZ[g],GyroX[°/s],GyroY[°/s],GyroZ[°/s],MagX[uT],MagY[uT],MagZ[uT],qW,qX,qY,qZ,AltFilt[m],VelFilt[m/s],AccVert[m/s^2],Tilt[°],PressBMP[Pa],Servo[%],PID_Gain,Cd_Gain,Estado
47695,0.001,0.001,0.999,-0.000,0.000,0.061,-124.470,8.487,-92.706,1.0000,0.0007,0.0002,0.0002,-0.00,-0.00,0.00,0.09,91887.6,0,0.00,0.00,2
47895,-0.000,0.002,0.995,-0.000,0.000,-0.000,-124.982,6.862,-92.531,1.0000,0.0010,0.0001,0.0003,-0.00,-0.00,0.00,0.10,91888.3,0,0.00,0.00,2
48095,0.000,0.000,0.996,0.061,-0.061,0.061,-125.664,7.584,-93.928,1.0000,0.0010,0.0001,0.0004,-0.00,-0.00,0.00,0.11,91891.7,0,0.00,0.00,2
48295,-0.002,0.001,0.998,-0.061,-0.061,-0.000,-125.323,7.584,-94.626,1.0000,0.0009,0.0002,0.0005,-0.00,-0.00,0.00,0.10,91890.3,0,0.00,0.00,2
48495,0.000,0.000,0.997,-0.061,0.061,0.122,-125.493,8.125,-92.706,1.0000,0.0009,0.0002,0.0007,0.03,-0.00,0.00,0.10,91889.0,0,0.00,0.00,2
48695,-0.005,-0.011,0.982,0.061,0.000,0.122,-124.641,8.306,-91.484,1.0000,0.0008,0.0003,0.0008,0.09,-0.00,0.00,0.10,91888.9,0,0.00,0.00,2
48895,0.008,0.000,1.008,0.061,0.122,0.061,-124.470,7.403,-92.706,1.0000,0.0006,-0.0001,0.0010,0.11,0.00,0.00,0.06,91889.0,0,0.00,0.00,2
49095,-0.000,0.001,0.997,0.061,0.000,0.061,-126.005,7.945,-93.579,1.0000,0.0007,-0.0000,0.0011,0.12,-0.00,0.00,0.08,91887.6,0,0.00,0.00,2
49295,-0.001,0.002,1.000,0.061,0.061,0.061,-124.641,7.223,-92.531,1.0000,0.0008,-0.0001,0.0012,0.12,-0.00,0.00,0.09,91891.7,0,0.00,0.00,2
49495,-0.004,0.007,1.000,-0.000,0.061,-0.061,-123.959,6.139,-94.277,1.0000,0.0008,-0.0001,0.0013,0.13,0.00,0.00,0.09,91884.9,0,0.00,0.00,2
49695,-0.001,0.004,1.003,0.061,0.000,0.122,-125.152,6.320,-93.055,1.0000,0.0009,-0.0001,0.0015,0.13,0.00,0.00,0.10,91892.4,0,0.00,0.00,2
49895,-0.002,-0.005,1.010,0.122,0.000,-0.000,-124.982,6.862,-92.531,1.0000,0.0010,-0.0001,0.0016,0.12,0.00,0.00,0.11,91888.2,0,0.00,0.00,2
50095,0.000,0.005,0.995,-0.000,0.000,-0.000,-124.811,7.764,-92.706,1.0000,0.0010,-0.0000,0.0017,0.12,-0.00,0.00,0.12,91892.4,0,0.00,0.00,2
50295,-0.001,0.001,0.994,-0.000,-0.061,0.061,-126.687,9.389,-91.484,1.0000,0.0010,-0.0001,0.0018,0.12,-0.00,0.00,0.11,91889.0,0,0.00,0.00,2
50495,-0.000,0.001,0.997,0.061,0.000,0.122,-125.152,8.487,-92.357,1.0000,0.0010,-0.0000,0.0020,0.11,-0.00,0.00,0.11,91891.7,0,0.00,0.00,2
50695,0.002,0.004,0.999,0.061,0.061,0.122,-126.516,7.403,-92.357,1.0000,0.0010,-0.0000,0.0021,0.10,-0.00,0.00,0.11,91893.1,0,0.00,0.00,2
50895,-0.001,0.004,1.000,-0.000,0.061,-0.000,-124.300,8.306,-92.531,1.0000,0.0010,-0.0001,0.0022,0.08,-0.00,0.00,0.11,91893.8,0,0.00,0.00,2
51095,-0.000,0.002,0.998,0.061,-0.061,0.122,-125.323,7.584,-92.531,1.0000,0.0010,-0.0000,0.0024,0.08,-0.00,0.00,0.11,91891.1,0,0.00,0.00,2
51295,0.001,0.002,0.996,0.061,-0.061,0.061,-124.982,7.945,-93.230,1.0000,0.0010,-0.0001,0.0025,0.07,-0.00,0.00,0.11,91887.0,0,0.00,0.00,2
51495,0.000,0.002,0.996,-0.000,0.000,0.061,-124.641,5.778,-93.579,1.0000,0.0010,-0.0002,0.0026,0.07,-0.00,0.00,0.12,91887.7,0,0.00,0.00,2
51695,-0.001,0.000,0.999,0.061,0.000,0.122,-125.493,8.487,-92.706,1.0000,0.0010,-0.0002,0.0027,0.08,-0.00,0.00,0.12,91887.0,0,0.00,0.00,2
51895,-0.000,0.001,0.996,0.061,0.000,-0.000,-125.493,7.764,-93.055,1.0000,0.0010,-0.0002,0.0028,0.08,-0.00,0.00,0.12,91887.7,0,0.00,0.00,2
52095,-0.000,0.000,0.997,-0.000,0.000,0.061,-124.641,7.584,-93.579,1.0000,0.0009,-0.0002,0.0029,0.09,-0.00,0.00,0.11,91887.7,0,0.00,0.00,2
52295,-0.003,0.001,0.996,0.122,0.000,0.061,-124.811,7.764,-92.706,1.0000,0.0010,-0.0001,0.0031,0.09,-0.00,0.00,0.10,91888.4,0,0.00,0.00,2
52495,-0.003,0.002,0.990,0.061,0.000,-0.000,-124.470,8.487,-92.706,1.0000,0.0010,-0.0002,0.0032,0.09,-0.00,0.00,0.11,91888.3,0,0.00,0.00,2
52695,0.003,0.002,1.000,-0.000,0.122,0.061,-125.323,7.223,-93.230,1.0000,0.0009,-0.0002,0.0033,0.10,-0.00,0.00,0.10,91888.3,0,0.00,0.00,2
52895,-0.003,-0.001,0.998,-0.000,0.000,-0.000,-125.493,9.209,-91.658,1.0000,0.0009,-0.0001,0.0034,0.10,-0.00,0.00,0.10,91888.4,0,0.00,0.00,2
53095,-0.001,-0.001,0.999,0.061,-0.061,0.061,-126.175,8.487,-93.753,1.0000,0.0009,-0.0001,0.0035,0.10,-0.00,0.00,0.11,91889.0,0,0.00,0.00,2
53295,0.000,0.002,0.999,0.061,0.061,0.061,-124.300,6.500,-92.880,1.0000,0.0010,-0.0001,0.0037,0.10,-0.00,0.00,0.11,91892.4,0,0.00,0.00,2
53495,0.000,0.003,0.998,-0.000,0.000,-0.000,-123.959,7.584,-93.928,1.0000,0.0010,-0.0001,0.0037,0.10,-0.00,0.00,0.11,91887.0,0,0.00,0.00,2
