time,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_T,mag_y_T,mag_z_T,pressure_Pa,sim_z,sim_vz,sim_az,sim_ax_loc_ms2,sim_ay_loc_ms2,sim_az_loc_ms2,sim_mx_T,sim_my_T,sim_mz_T,sim_gx_rads,sim_gy_rads,sim_gz_rads,sim_q0,sim_q1,sim_q2,sim_q3,sim_tilt,sim_pressure_Pa
0.26000000,0.47405193,0.45968672,-9.78749639,0.00000000,-0.00106526,0.00213053,-0.00001020,-0.00001620,-0.00004320,85539.52000000,0.00000000,0.00000000,0.00000000,0.48295990,0.48295990,-9.76747574,-0.00001125,-0.00001675,-0.00004348,-0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,85515.78588170
0.28000000,0.45489832,0.46447512,-9.75397756,-0.00106526,0.00000000,0.00106526,-0.00001200,-0.00001560,-0.00004320,85530.40000000,-0.00000000,0.00000000,0.00000000,0.48295990,0.48295990,-9.76747574,-0.00001125,-0.00001675,-0.00004348,0.00000000,-0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,85515.78588170
0.30000000,0.48362874,0.48362874,-9.80186160,-0.00213053,-0.00213053,0.00106526,-0.00001140,-0.00001620,-0.00004380,85525.76000000,0.00000000,0.00000000,0.00000000,0.48295990,0.48295990,-9.76747574,-0.00001125,-0.00001675,-0.00004348,-0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,85515.78588170
0.32000000,0.45489832,0.47884033,-9.81143840,0.00000000,-0.00106526,0.00319579,-0.00001260,-0.00001680,-0.00004320,85530.40000000,-0.00000000,-0.00000000,-0.00000000,0.48295990,0.48295990,-9.76747574,-0.00001125,-0.00001675,-0.00004348,0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,85515.78588170
0.34000000,0.46447512,0.48362874,-9.75397756,0.00000000,-0.00213053,0.00106526,-0.00001140,-0.00001800,-0.00004500,85524.80000000,0.00000000,0.00000000,0.00000000,0.48295990,0.48295990,-9.76747574,-0.00001125,-0.00001675,-0.00004348,-0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,85515.78588170
0.36000000,0.45968672,0.46926353,-9.79707319,0.00000000,0.00000000,0.00319579,-0.00001080,-0.00001740,-0.00004380,85526.88000000,0.00000000,0.00000000,0.00000000,0.48295990,0.48295990,-9.76747574,-0.00001125,-0.00001675,-0.00004348,-0.00000000,-0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,85515.78588170
0.38000000,0.47405193,0.48841714,-9.81143840,0.00000000,0.00000000,0.00106526,-0.00001320,-0.00001800,-0.00004440,85522.72000000,0.00000000,0.00000000,-0.00000000,0.48295990,0.48295990,-9.76747574,-0.00001125,-0.00001675,-0.00004348,0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,85515.78588170
0.40000000,0.46926353,0.47405193,-9.79228479,0.00000000,-0.00106526,0.00213053,-0.00001200,-0.00001740,-0.00004380,85527.52000000,0.00000000,0.00000000,-0.00000000,0.48295990,0.48295990,-9.76747574,-0.00001125,-0.00001675,-0.00004348,0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,85515.78588170
0.42000000,0.45489832,0.48362874,-9.78270798,-0.00106526,0.00000000,0.00106526,-0.00001080,-0.00001680,-0.00004380,85522.40000000,0.00000000,-0.00000000,-0.00000000,0.48295990,0.48295990,-9.76747574,-0.00001125,-0.00001675,-0.00004348,0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,85515.78588170
0.44000000,0.47884033,0.47405193,-9.79228479,-0.00106526,0.00106526,0.00319579,-0.00001200,-0.00001740,-0.00004380,85530.08000000,0.00000000,0.00000000,0.00000000,0.48295990,0.48295990,-9.76747574,-0.00001125,-0.00001675,-0.00004348,0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,85515.78588170
