0.00,0.0
0.14,38.8
0.28,175.1
0.42,194.8
0.56,269.5
0.70,1790.2
0.84,1779.3
0.98,1769.1
1.12,1761.5
1.26,1756.3
1.40,1753.8
1.54,1751.9
1.68,1749.9
1.82,1748.4
1.96,1746.3
2.10,1744.0
2.24,1740.8
2.38,1736.8
2.52,1732.6
2.66,1731.0
2.80,1730.7
2.94,1732.6
3.08,1729.9
3.22,1731.9
3.36,1730.8
3.50,1727.3
3.64,1723.2
3.78,1720.1
3.92,1714.8
4.06,1703.5
4.20,1696.1
4.34,1683.2
4.48,1669.1
4.62,1659.2
4.76,1654.1
4.90,1649.0
5.04,1638.4
5.18,1629.1
5.32,1618.5
5.46,1606.6
5.60,1592.6
5.74,1572.9
5.88,1558.4
6.02,1541.6
6.16,1522.0
6.30,1495.2
6.44,1485.0
6.58,1471.0
6.72,1448.1
6.86,1427.1
7.00,1407.8
7.14,1379.9
7.28,1345.5
7.42,1274.0
7.56,1142.4
7.70,918.2
7.84,760.5
7.98,657.9
8.12,561.6
8.26,490.3
8.40,448.7
8.54,415.8
8.68,382.7
8.82,357.6
8.96,333.9
9.10,299.3
9.24,277.2
9.38,250.6
9.52,230.2
9.66,203.5
9.80,178.1
9.94,165.4
10.08,146.2
10.22,135.2
10.36,131.4
10.50,121.5
10.64,110.6
10.78,99.6
10.92,92.0
11.06,78.3
11.20,74.3
11.34,71.8
11.48,65.4
11.62,58.6
11.76,46.7
11.90,41.2
12.04,31.4
12.18,26.4
12.32,25.8
12.46,22.0
12.60,15.1
12.74,10.6
12.88,7.4
13.02,5.3
13.16,4.7
13.30,2.2
13.44,0.2
