0.0,0.01,0.564
0.0,0.02,0.495
0.0,0.03,0.46
0.0,0.04,0.437
0.0,0.05,0.421
0.0,0.06,0.409
0.0,0.07,0.399
0.0,0.08,0.39
0.0,0.09,0.386
0.0,0.1,0.384
0.0,0.11,0.384
0.0,0.12,0.384
0.0,0.13,0.383
0.0,0.14,0.383
0.0,0.15,0.383
0.0,0.16,0.383
0.0,0.17,0.383
0.0,0.18,0.383
0.0,0.19,0.383
0.0,0.2,0.383
0.0,0.21,0.383
0.0,0.22,0.382
0.0,0.23,0.382
0.0,0.24,0.382
0.0,0.25,0.382
0.0,0.26,0.382
0.0,0.27,0.382
0.0,0.28,0.383
0.0,0.29,0.383
0.0,0.3,0.383
0.0,0.31,0.383
0.0,0.32,0.383
0.0,0.33,0.383
0.0,0.34,0.384
0.0,0.35,0.384
0.0,0.36,0.384
0.0,0.37,0.384
0.0,0.38,0.384
0.0,0.39,0.384
0.0,0.4,0.385
0.0,0.41,0.385
0.0,0.42,0.385
0.0,0.43,0.385
0.0,0.44,0.385
0.0,0.45,0.385
0.0,0.46,0.386
0.0,0.47,0.386
0.0,0.48,0.386
0.0,0.49,0.386
0.0,0.5,0.386
0.0,0.51,0.386
0.0,0.52,0.387
0.0,0.53,0.387
0.0,0.54,0.387
0.0,0.55,0.387
0.0,0.56,0.387
0.0,0.57,0.387
0.0,0.58,0.388
0.0,0.59,0.388
0.0,0.6,0.388
0.0,0.61,0.389
0.0,0.62,0.389
0.0,0.63,0.39
0.0,0.64,0.391
0.0,0.65,0.391
0.0,0.66,0.392
0.0,0.67,0.392
0.0,0.68,0.393
0.0,0.69,0.394
0.0,0.7,0.394
0.0,0.71,0.395
0.0,0.72,0.396
0.0,0.73,0.396
0.0,0.74,0.397
0.0,0.75,0.398
0.0,0.76,0.398
0.0,0.77,0.399
0.0,0.78,0.4
0.0,0.79,0.4
0.0,0.8,0.401
0.0,0.81,0.402
0.0,0.82,0.402
0.0,0.83,0.403
0.0,0.84,0.404
0.0,0.85,0.404
0.0,0.86,0.405
0.0,0.87,0.406
0.0,0.88,0.406
0.0,0.89,0.407
0.0,0.9,0.407
0.0,0.91,0.41
0.0,0.92,0.419
0.0,0.93,0.481
0.0,0.94,0.594
0.0,0.95,0.708
0.0,0.96,0.821
0.0,0.97,0.934
0.0,0.98,1.047
0.0,0.99,1.16
0.0,1,1.273
0.2,0.01,0.694
0.2,0.02,0.625
0.2,0.03,0.590
0.2,0.04,0.568
0.2,0.05,0.551
0.2,0.06,0.539
0.2,0.07,0.529
0.2,0.08,0.520
0.2,0.09,0.516
0.2,0.10,0.514
0.2,0.11,0.514
0.2,0.12,0.514
0.2,0.13,0.514
0.2,0.14,0.513
0.2,0.15,0.513
0.2,0.16,0.513
0.2,0.17,0.513
0.2,0.18,0.513
0.2,0.19,0.513
0.2,0.20,0.513
0.2,0.21,0.513
0.2,0.22,0.512
0.2,0.23,0.512
0.2,0.24,0.512
0.2,0.25,0.512
0.2,0.26,0.512
0.2,0.27,0.512
0.2,0.28,0.513
0.2,0.29,0.513
0.2,0.30,0.513
0.2,0.31,0.513
0.2,0.32,0.513
0.2,0.33,0.513
0.2,0.34,0.514
0.2,0.35,0.514
0.2,0.36,0.514
0.2,0.37,0.514
0.2,0.38,0.514
0.2,0.39,0.514
0.2,0.40,0.515
0.2,0.41,0.515
0.2,0.42,0.515
0.2,0.43,0.515
0.2,0.44,0.515
0.2,0.45,0.515
0.2,0.46,0.516
0.2,0.47,0.516
0.2,0.48,0.516
0.2,0.49,0.516
0.2,0.50,0.516
0.2,0.51,0.516
0.2,0.52,0.517
0.2,0.53,0.517
0.2,0.54,0.517
0.2,0.55,0.517
0.2,0.56,0.517
0.2,0.57,0.517
0.2,0.58,0.518
0.2,0.59,0.518
0.2,0.60,0.518
0.2,0.61,0.519
0.2,0.62,0.519
0.2,0.63,0.520
0.2,0.64,0.521
0.2,0.65,0.521
0.2,0.66,0.522
0.2,0.67,0.523
0.2,0.68,0.523
0.2,0.69,0.524
0.2,0.70,0.525
0.2,0.71,0.525
0.2,0.72,0.526
0.2,0.73,0.526
0.2,0.74,0.527
0.2,0.75,0.528
0.2,0.76,0.528
0.2,0.77,0.529
0.2,0.78,0.530
0.2,0.79,0.530
0.2,0.80,0.531
0.2,0.81,0.532
0.2,0.82,0.532
0.2,0.83,0.533
0.2,0.84,0.534
0.2,0.85,0.534
0.2,0.86,0.535
0.2,0.87,0.536
0.2,0.88,0.536
0.2,0.89,0.537
0.2,0.90,0.538
0.2,0.91,0.541
0.2,0.92,0.552
0.2,0.93,0.619
0.2,0.94,0.736
0.2,0.95,0.854
0.2,0.96,0.971
0.2,0.97,1.088
0.2,0.98,1.206
0.2,0.99,1.323
0.2,1.00,1.440
0.4,0.01,0.825
0.4,0.02,0.755
0.4,0.03,0.720
0.4,0.04,0.698
0.4,0.05,0.681
0.4,0.06,0.669
0.4,0.07,0.659
0.4,0.08,0.650
0.4,0.09,0.646
0.4,0.10,0.644
0.4,0.11,0.644
0.4,0.12,0.644
0.4,0.13,0.644
0.4,0.14,0.644
0.4,0.15,0.643
0.4,0.16,0.643
0.4,0.17,0.643
0.4,0.18,0.643
0.4,0.19,0.643
0.4,0.20,0.643
0.4,0.21,0.643
0.4,0.22,0.643
0.4,0.23,0.642
0.4,0.24,0.642
0.4,0.25,0.642
0.4,0.26,0.642
0.4,0.27,0.643
0.4,0.28,0.643
0.4,0.29,0.643
0.4,0.30,0.643
0.4,0.31,0.643
0.4,0.32,0.643
0.4,0.33,0.644
0.4,0.34,0.644
0.4,0.35,0.644
0.4,0.36,0.644
0.4,0.37,0.644
0.4,0.38,0.644
0.4,0.39,0.645
0.4,0.40,0.645
0.4,0.41,0.645
0.4,0.42,0.645
0.4,0.43,0.645
0.4,0.44,0.645
0.4,0.45,0.646
0.4,0.46,0.646
0.4,0.47,0.646
0.4,0.48,0.646
0.4,0.49,0.646
0.4,0.50,0.646
0.4,0.51,0.647
0.4,0.52,0.647
0.4,0.53,0.647
0.4,0.54,0.647
0.4,0.55,0.647
0.4,0.56,0.647
0.4,0.57,0.648
0.4,0.58,0.648
0.4,0.59,0.648
0.4,0.60,0.648
0.4,0.61,0.649
0.4,0.62,0.649
0.4,0.63,0.650
0.4,0.64,0.651
0.4,0.65,0.651
0.4,0.66,0.652
0.4,0.67,0.653
0.4,0.68,0.653
0.4,0.69,0.654
0.4,0.70,0.655
0.4,0.71,0.655
0.4,0.72,0.656
0.4,0.73,0.657
0.4,0.74,0.657
0.4,0.75,0.658
0.4,0.76,0.659
0.4,0.77,0.659
0.4,0.78,0.660
0.4,0.79,0.661
0.4,0.80,0.661
0.4,0.81,0.662
0.4,0.82,0.662
0.4,0.83,0.663
0.4,0.84,0.664
0.4,0.85,0.664
0.4,0.86,0.665
0.4,0.87,0.666
0.4,0.88,0.666
0.4,0.89,0.667
0.4,0.90,0.668
0.4,0.91,0.672
0.4,0.92,0.686
0.4,0.93,0.757
0.4,0.94,0.878
0.4,0.95,1.000
0.4,0.96,1.121
0.4,0.97,1.243
0.4,0.98,1.364
0.4,0.99,1.486
0.4,1.00,1.608
0.6,0.01,0.955
0.6,0.02,0.885
0.6,0.03,0.850
0.6,0.04,0.828
0.6,0.05,0.812
0.6,0.06,0.799
0.6,0.07,0.789
0.6,0.08,0.781
0.6,0.09,0.776
0.6,0.10,0.774
0.6,0.11,0.774
0.6,0.12,0.774
0.6,0.13,0.774
0.6,0.14,0.774
0.6,0.15,0.774
0.6,0.16,0.773
0.6,0.17,0.773
0.6,0.18,0.773
0.6,0.19,0.773
0.6,0.20,0.773
0.6,0.21,0.773
0.6,0.22,0.773
0.6,0.23,0.773
0.6,0.24,0.772
0.6,0.25,0.772
0.6,0.26,0.773
0.6,0.27,0.773
0.6,0.28,0.773
0.6,0.29,0.773
0.6,0.30,0.773
0.6,0.31,0.773
0.6,0.32,0.774
0.6,0.33,0.774
0.6,0.34,0.774
0.6,0.35,0.774
0.6,0.36,0.774
0.6,0.37,0.774
0.6,0.38,0.775
0.6,0.39,0.775
0.6,0.40,0.775
0.6,0.41,0.775
0.6,0.42,0.775
0.6,0.43,0.775
0.6,0.44,0.776
0.6,0.45,0.776
0.6,0.46,0.776
0.6,0.47,0.776
0.6,0.48,0.776
0.6,0.49,0.776
0.6,0.50,0.777
0.6,0.51,0.777
0.6,0.52,0.777
0.6,0.53,0.777
0.6,0.54,0.777
0.6,0.55,0.777
0.6,0.56,0.778
0.6,0.57,0.778
0.6,0.58,0.778
0.6,0.59,0.778
0.6,0.60,0.778
0.6,0.61,0.779
0.6,0.62,0.780
0.6,0.63,0.780
0.6,0.64,0.781
0.6,0.65,0.781
0.6,0.66,0.782
0.6,0.67,0.783
0.6,0.68,0.783
0.6,0.69,0.784
0.6,0.70,0.785
0.6,0.71,0.785
0.6,0.72,0.786
0.6,0.73,0.787
0.6,0.74,0.787
0.6,0.75,0.788
0.6,0.76,0.789
0.6,0.77,0.789
0.6,0.78,0.790
0.6,0.79,0.791
0.6,0.80,0.791
0.6,0.81,0.792
0.6,0.82,0.793
0.6,0.83,0.793
0.6,0.84,0.794
0.6,0.85,0.795
0.6,0.86,0.795
0.6,0.87,0.796
0.6,0.88,0.796
0.6,0.89,0.797
0.6,0.90,0.798
0.6,0.91,0.803
0.6,0.92,0.819
0.6,0.93,0.895
0.6,0.94,1.020
0.6,0.95,1.146
0.6,0.96,1.272
0.6,0.97,1.397
0.6,0.98,1.523
0.6,0.99,1.649
0.6,1.00,1.775
0.8,0.01,1.085
0.8,0.02,1.015
0.8,0.03,0.980
0.8,0.04,0.958
0.8,0.05,0.942
0.8,0.06,0.929
0.8,0.07,0.919
0.8,0.08,0.911
0.8,0.09,0.906
0.8,0.10,0.904
0.8,0.11,0.904
0.8,0.12,0.904
0.8,0.13,0.904
0.8,0.14,0.904
0.8,0.15,0.904
0.8,0.16,0.904
0.8,0.17,0.903
0.8,0.18,0.903
0.8,0.19,0.903
0.8,0.20,0.903
0.8,0.21,0.903
0.8,0.22,0.903
0.8,0.23,0.903
0.8,0.24,0.903
0.8,0.25,0.902
0.8,0.26,0.903
0.8,0.27,0.903
0.8,0.28,0.903
0.8,0.29,0.903
0.8,0.30,0.903
0.8,0.31,0.903
0.8,0.32,0.904
0.8,0.33,0.904
0.8,0.34,0.904
0.8,0.35,0.904
0.8,0.36,0.904
0.8,0.37,0.904
0.8,0.38,0.905
0.8,0.39,0.905
0.8,0.40,0.905
0.8,0.41,0.905
0.8,0.42,0.905
0.8,0.43,0.905
0.8,0.44,0.906
0.8,0.45,0.906
0.8,0.46,0.906
0.8,0.47,0.906
0.8,0.48,0.906
0.8,0.49,0.906
0.8,0.50,0.907
0.8,0.51,0.907
0.8,0.52,0.907
0.8,0.53,0.907
0.8,0.54,0.907
0.8,0.55,0.907
0.8,0.56,0.908
0.8,0.57,0.908
0.8,0.58,0.908
0.8,0.59,0.908
0.8,0.60,0.908
0.8,0.61,0.909
0.8,0.62,0.910
0.8,0.63,0.910
0.8,0.64,0.911
0.8,0.65,0.912
0.8,0.66,0.912
0.8,0.67,0.913
0.8,0.68,0.914
0.8,0.69,0.914
0.8,0.70,0.915
0.8,0.71,0.916
0.8,0.72,0.916
0.8,0.73,0.917
0.8,0.74,0.918
0.8,0.75,0.918
0.8,0.76,0.919
0.8,0.77,0.919
0.8,0.78,0.920
0.8,0.79,0.921
0.8,0.80,0.921
0.8,0.81,0.922
0.8,0.82,0.923
0.8,0.83,0.923
0.8,0.84,0.924
0.8,0.85,0.925
0.8,0.86,0.925
0.8,0.87,0.926
0.8,0.88,0.927
0.8,0.89,0.927
0.8,0.90,0.928
0.8,0.91,0.934
0.8,0.92,0.953
0.8,0.93,1.032
0.8,0.94,1.162
0.8,0.95,1.292
0.8,0.96,1.422
0.8,0.97,1.552
0.8,0.98,1.682
0.8,0.99,1.812
0.8,1.00,1.942
1.0,0.01,1.215
1.0,0.02,1.145
1.0,0.03,1.110
1.0,0.04,1.088
1.0,0.05,1.072
1.0,0.06,1.059
1.0,0.07,1.049
1.0,0.08,1.041
1.0,0.09,1.036
1.0,0.10,1.034
1.0,0.11,1.034
1.0,0.12,1.034
1.0,0.13,1.034
1.0,0.14,1.034
1.0,0.15,1.034
1.0,0.16,1.034
1.0,0.17,1.034
1.0,0.18,1.033
1.0,0.19,1.033
1.0,0.20,1.033
1.0,0.21,1.033
1.0,0.22,1.033
1.0,0.23,1.033
1.0,0.24,1.033
1.0,0.25,1.033
1.0,0.26,1.033
1.0,0.27,1.033
1.0,0.28,1.033
1.0,0.29,1.033
1.0,0.30,1.033
1.0,0.31,1.034
1.0,0.32,1.034
1.0,0.33,1.034
1.0,0.34,1.034
1.0,0.35,1.034
1.0,0.36,1.034
1.0,0.37,1.035
1.0,0.38,1.035
1.0,0.39,1.035
1.0,0.40,1.035
1.0,0.41,1.035
1.0,0.42,1.035
1.0,0.43,1.036
1.0,0.44,1.036
1.0,0.45,1.036
1.0,0.46,1.036
1.0,0.47,1.036
1.0,0.48,1.036
1.0,0.49,1.037
1.0,0.50,1.037
1.0,0.51,1.037
1.0,0.52,1.037
1.0,0.53,1.037
1.0,0.54,1.037
1.0,0.55,1.038
1.0,0.56,1.038
1.0,0.57,1.038
1.0,0.58,1.038
1.0,0.59,1.038
1.0,0.60,1.038
1.0,0.61,1.039
1.0,0.62,1.040
1.0,0.63,1.040
1.0,0.64,1.041
1.0,0.65,1.042
1.0,0.66,1.042
1.0,0.67,1.043
1.0,0.68,1.044
1.0,0.69,1.044
1.0,0.70,1.045
1.0,0.71,1.046
1.0,0.72,1.046
1.0,0.73,1.047
1.0,0.74,1.048
1.0,0.75,1.048
1.0,0.76,1.049
1.0,0.77,1.050
1.0,0.78,1.050
1.0,0.79,1.051
1.0,0.80,1.051
1.0,0.81,1.052
1.0,0.82,1.053
1.0,0.83,1.053
1.0,0.84,1.054
1.0,0.85,1.055
1.0,0.86,1.055
1.0,0.87,1.056
1.0,0.88,1.057
1.0,0.89,1.057
1.0,0.90,1.058
1.0,0.91,1.065
1.0,0.92,1.087
1.0,0.93,1.170
1.0,0.94,1.304
1.0,0.95,1.438
1.0,0.96,1.572
1.0,0.97,1.707
1.0,0.98,1.841
1.0,0.99,1.975
1.0,1.00,2.109
