time,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_T,mag_y_T,mag_z_T,pressure_Pa,sim_z,sim_vz,sim_az,sim_ax_loc_ms2,sim_ay_loc_ms2,sim_az_loc_ms2,sim_mx_T,sim_my_T,sim_mz_T,sim_gx_rads,sim_gy_rads,sim_gz_rads,sim_q0,sim_q1,sim_q2,sim_q3,sim_tilt,sim_pressure_Pa
0.26000000,-0.47405193,-0.47405193,9.80186160,-0.00106526,-0.00213053,0.00213053,-0.00000060,-0.00001980,0.00001440,86142.24000000,0.00000000,0.00000000,0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,0.00000000,0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86122.42227830
0.28000000,-0.48362874,-0.48841714,9.77313118,0.00000000,-0.00106526,0.00426106,0.00000060,-0.00001860,0.00001380,86124.48000000,-0.00000000,0.00000000,-0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,-0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86122.42227830
0.30000000,-0.49799395,-0.49320554,9.74918916,0.00000000,0.00000000,0.00319579,0.00000000,-0.00001800,0.00001500,86144.80000000,0.00000000,0.00000000,0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86122.42227830
0.32000000,-0.52672437,-0.49320554,9.70130513,-0.00106526,0.00000000,0.00106526,0.00000000,-0.00001920,0.00001380,86134.08000000,0.00000000,-0.00000000,-0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,-0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86122.42227830
0.34000000,-0.49320554,-0.49320554,9.74918916,-0.00213053,-0.00106526,0.00106526,0.00000360,-0.00001980,0.00001500,86130.88000000,0.00000000,0.00000000,0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,-0.00000000,0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86122.42227830
0.36000000,-0.50278235,-0.48841714,9.73482395,0.00000000,-0.00213053,0.00213053,0.00000060,-0.00001920,0.00001380,86121.76000000,-0.00000000,0.00000000,0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,-0.00000000,-0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86122.42227830
0.38000000,-0.49320554,-0.50278235,9.76834277,0.00000000,-0.00106526,0.00213053,0.00000000,-0.00001800,0.00001440,86132.32000000,0.00000000,0.00000000,0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,-0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86122.42227830
0.40000000,-0.52193596,-0.47405193,9.74918916,-0.00106526,0.00000000,0.00106526,0.00000180,-0.00002040,0.00001500,86134.72000000,0.00000000,0.00000000,0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86122.42227830
0.42000000,-0.52193596,-0.47884033,9.75876597,-0.00106526,-0.00106526,0.00106526,0.00000000,-0.00002040,0.00001500,86135.68000000,-0.00000000,-0.00000000,-0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86122.42227830
0.44000000,-0.51235916,-0.49320554,9.73961235,-0.00213053,0.00106526,0.00213053,0.00000060,-0.00001920,0.00001380,86142.56000000,0.00000000,0.00000000,-0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86122.42227830
