time,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_T,mag_y_T,mag_z_T,pressure_Pa,sim_z,sim_vz,sim_az,sim_ax_loc_ms2,sim_ay_loc_ms2,sim_az_loc_ms2,sim_mx_T,sim_my_T,sim_mz_T,sim_gx_rads,sim_gy_rads,sim_gz_rads,sim_q0,sim_q1,sim_q2,sim_q3,sim_tilt,sim_pressure_Pa
0.46000000,0.48362874,-0.50757075,-9.75876597,-0.00106526,-0.00106526,-0.00000000,0.00001020,-0.00001680,0.00004380,86244.32000000,0.00000000,0.00000000,0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.40626432
0.48000000,0.48841714,-0.52672437,-9.77791958,-0.00106526,0.00000000,-0.00000000,0.00001140,-0.00001560,0.00004380,86240.64000000,0.00000000,-0.00000000,0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,0.00000000,0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.40626432
0.50000000,0.48841714,-0.52193596,-9.75397756,-0.00213053,-0.00106526,-0.00000000,0.00001020,-0.00001620,0.00004380,86241.28000000,0.00000000,0.00000000,0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,0.00000000,0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.40626432
0.52000000,0.48841714,-0.51714756,-9.76834277,-0.00213053,-0.00106526,-0.00106526,0.00001020,-0.00001500,0.00004320,86243.36000000,0.00000000,0.00000000,-0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,-0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.40626432
0.54000000,0.49799395,-0.50278235,-9.78270798,-0.00213053,0.00000000,-0.00000000,0.00001140,-0.00001560,0.00004500,86240.80000000,0.00000000,-0.00000000,-0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,0.00000000,0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.40626432
0.56000000,0.48362874,-0.51235916,-9.75876597,-0.00213053,0.00000000,-0.00000000,0.00001080,-0.00001980,0.00004380,86248.32000000,-0.00000000,0.00000000,0.00000000,-0.48295853,-0.48295853,9.76744805,0.00000066,-0.00001902,0.00001416,0.00000000,0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.40626432
0.58000000,0.47884033,-0.51714756,-12.67011519,-0.00213053,-0.00213053,-0.00000000,0.00001140,-0.00001740,0.00004380,86241.60000000,0.00007703,0.01655373,2.90041431,-0.48295853,-0.48295853,12.67494487,0.00000066,-0.00001902,0.00001416,0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.40546199
0.60000000,0.48841714,-0.52672437,-18.33479631,-0.00213053,0.00000000,-0.00213053,0.00001200,-0.00001680,0.00004560,86244.96000000,0.00136960,0.13102508,8.54724063,-0.48295853,-0.48295853,18.33556016,0.00000066,-0.00001902,0.00001416,0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.39199833
0.62000000,0.49799395,-0.53630117,-24.00426584,-0.00000000,-0.00213053,-0.00213053,0.00001080,-0.00001620,0.00004260,86242.88000000,0.00607620,0.35846943,14.19793552,-0.48295853,-0.48295853,24.00005346,0.00000066,-0.00001902,0.00001416,0.00000000,-0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.34297379
0.64000000,0.48362874,-0.50757075,-29.64021655,-0.00213053,-0.00106526,-0.00319579,0.00001140,-0.00001740,0.00004620,86236.80000000,0.01646213,0.69897495,19.85351161,-0.48295853,-0.48295853,29.66943986,0.00000066,-0.00001902,0.00001416,0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.23479248
0.66000000,0.48362874,-0.51235916,-35.33841650,-0.00106526,-0.00106526,-0.00426106,0.00001140,-0.00001620,0.00004020,86240.32000000,0.03478967,1.15265038,25.51509322,-0.48295852,-0.48295852,35.34484642,0.00000066,-0.00001902,0.00001416,-0.00000000,0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86232.04389020
0.68000000,0.47884033,-0.51235916,-41.03661646,-0.00106526,-0.00213053,-0.00532632,0.00001080,-0.00001920,0.00004260,86237.28000000,0.06340378,1.71963195,31.18378377,-0.48295852,-0.48295852,41.02737924,0.00000066,-0.00001902,0.00001416,-0.00000000,0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86231.74584155
0.70000000,0.49320554,-0.52193596,-46.73960481,-0.00106526,0.00000000,-0.00639159,0.00001200,-0.00001680,0.00004320,86241.76000000,0.10449492,2.40008081,36.86194162,-0.48295851,-0.48295851,46.71940245,0.00000066,-0.00001902,0.00001416,0.00000000,-0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86231.31783047
0.72000000,0.50757075,-0.51235916,-46.67256716,-0.00213053,-0.00213053,-0.00639159,0.00000960,-0.00001680,0.00004320,86244.80000000,0.15986794,3.13718253,36.84815487,-0.48295851,-0.48295851,46.70558186,0.00000066,-0.00001902,0.00001416,-0.00000000,0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86230.74105726
0.74000000,0.47884033,-0.50278235,-46.69650918,-0.00319579,-0.00213053,-0.00745685,0.00001020,-0.00001680,0.00004440,86240.64000000,0.22998016,3.87400477,36.83400729,-0.48295849,-0.48295849,46.69139952,0.00000066,-0.00001902,0.00001416,-0.00000000,0.00000000,0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86230.01075839
0.76000000,0.48362874,-0.51714756,-46.67735557,-0.00213053,-0.00106526,-0.00639159,0.00001020,-0.00001680,0.00004380,86244.00000000,0.31482598,4.61054072,36.81959158,-0.48295848,-0.48295848,46.67694835,0.00000066,-0.00001902,0.00001416,0.00000000,0.00000000,-0.00000000,0.56606120,0.00635993,0.03431510,-0.82362415,0.21923548,86229.12699234
